address of b:0x272c020
b[0] = -1.276306 
b[1] = -0.456726 
b[2] = 0.731018 
b[3] = 0.431458 
b[4] = 0.304749 
b[5] = 0.339172 
b[6] = -0.086365 
b[7] = -1.889832 
b[8] = -1.723572 
b[9] = 1.838196 
b[10] = 0.361877 
b[11] = -1.132996 
b[12] = -0.611267 
b[13] = 1.790344 
b[14] = -1.174255 
b[15] = -1.548035 
b[16] = -1.608337 
b[17] = 1.945618 
b[18] = 0.055237 
b[19] = 0.615051 
b[20] = -1.964783 
b[21] = 0.054016 
b[22] = 0.800354 
b[23] = 1.106262 
b[24] = 1.069397 
b[25] = 1.865540 
b[26] = 1.811096 
b[27] = -0.324402 
b[28] = -1.755798 
b[29] = 1.130188 
b[30] = -0.162537 
b[31] = 0.073059 
b[32] = 0.309631 
b[33] = -0.402039 
b[34] = -0.370544 
b[35] = -1.951355 
b[36] = -1.984314 
b[37] = -0.981140 
b[38] = 1.937073 
b[39] = 1.352356 
b[40] = -1.887634 
b[41] = 1.142883 
b[42] = -0.489685 
b[43] = 1.734192 
b[44] = -0.650330 
b[45] = -0.279968 
b[46] = 1.099182 
b[47] = -1.055847 
b[48] = 0.477600 
b[49] = 0.500305 
b[50] = -0.546326 
b[51] = 0.732239 
b[52] = 0.246155 
b[53] = 1.233704 
b[54] = -0.676208 
b[55] = -1.151550 
b[56] = 1.405334 
b[57] = -0.329773 
b[58] = 1.459534 
b[59] = 1.042786 
b[60] = -1.294861 
b[61] = 1.559875 
b[62] = -1.389099 
b[63] = -0.934753 
b[64] = -1.104431 
b[65] = 0.652649 
b[66] = -0.472107 
b[67] = 0.665833 
b[68] = 0.726624 
b[69] = -1.301453 
b[70] = 0.960510 
b[71] = 1.594543 
b[72] = -1.051697 
b[73] = 1.447571 
b[74] = -0.341248 
b[75] = 1.601379 
b[76] = 0.310608 
b[77] = -1.350281 
b[78] = 0.372620 
b[79] = 0.436340 
b[80] = -0.436462 
b[81] = 0.054993 
b[82] = -0.147888 
b[83] = 1.849426 
b[84] = -0.542908 
b[85] = -0.586609 
b[86] = -1.152771 
b[87] = 1.590637 
b[88] = -1.258728 
b[89] = -1.525085 
b[90] = -1.892029 
b[91] = -0.590027 
b[92] = 0.166077 
b[93] = -1.010437 
b[94] = -1.615662 
b[95] = -0.942566 
b[96] = -1.518494 
b[97] = -1.292664 
b[98] = 0.426331 
b[99] = 0.283020 
